POSTALCODE,STATE,STFIPS,Percent with at least 3Mbps,PC_NAME,PA_NAME,PA_FIPS,COUNTY,CTYFIPS
23357,VA,51,43.3,GREENBUSH,GREENBUSH,32624,ACCOMACK,1
22973,VA,51,43.3,STANARDSVILLE,STANARDSVILLE,75008,GREENE,79
24165,VA,51,43.1,SPENCER,SPENCER,74368,HENRY,89
23958,VA,51,43.1,PAMPLIN,PAMPLIN,60488,APPOMATTOX,11
24219,VA,51,43,BIG STONE GAP,BIG STONE GAP,7480,WISE,195
24326,VA,51,42.9,ELK CREEK,ELK CREEK,25312,GRAYSON,77
22843,VA,51,42.8,MOUNT SOLON,MOUNT SOLON,54136,AUGUSTA,15
24603,VA,51,42.7,BIG ROCK,BIG ROCK,7448,BUCHANAN,27
23093,VA,51,42.6,LOUISA,LOUISA,47144,LOUISA,109
24450,VA,51,42.5,LEXINGTON,LEXINGTON,45512,LEXINGTON CITY,678
22623,VA,51,42.4,CHESTER GAP,CHESTER GAP,16240,RAPPAHANNOCK,157
22942,VA,51,42.3,GORDONSVILLE,GORDONSVILLE,31936,ORANGE,137
23874,VA,51,42.2,NEWSOMS,NEWSOMS,56096,SOUTHAMPTON,175
23937,VA,51,41.6,DRAKES BRANCH,DRAKES BRANCH,23376,CHARLOTTE,37
23148,VA,51,41.6,SAINT STEPHENS CHURCH,SAINT STEPHENS CHURCH,,KING AND QUEEN,97
23607,VA,51,41.4,NEWPORT NEWS,NEWPORT NEWS,56000,NEWPORT NEWS CITY,700
24266,VA,51,41.4,LEBANON,LEBANON,44696,RUSSELL,167
23032,VA,51,41.3,CHURCH VIEW,CHURCH VIEW,16720,MIDDLESEX,119
24416,VA,51,41.2,BUENA VISTA,BUENA VISTA,11032,BUENA VISTA CITY,530
23920,VA,51,41.2,BRODNAX,BRODNAX,10072,BRUNSWICK,25
24236,VA,51,41.1,DAMASCUS,DAMASCUS,21184,WASHINGTON,191
23508,VA,51,41.1,NORFOLK,NORFOLK,57000,NORFOLK CITY,710
24273,VA,51,41,NORTON,NORTON,57688,NORTON CITY,720
22654,VA,51,41,STAR TANNERY,STAR TANNERY,,FREDERICK,69
22923,VA,51,40.8,BARBOURSVILLE,BARBOURSVILLE,4392,ORANGE,137
24530,VA,51,40.7,CALLANDS,CALLANDS,12152,PITTSYLVANIA,143
23359,VA,51,40.3,HALLWOOD,HALLWOOD,34176,ACCOMACK,1
23837,VA,51,40.2,COURTLAND,COURTLAND,19600,SOUTHAMPTON,175
23040,VA,51,39.9,CUMBERLAND,CUMBERLAND,20768,CUMBERLAND,49
23936,VA,51,39.9,DILLWYN,DILLWYN,22560,BUCKINGHAM,29
23302,VA,51,39.7,ASSAWOMAN,ASSAWOMAN,,ACCOMACK,1
24283,VA,51,39.5,SAINT PAUL,SAINT PAUL,69936,WISE,195
22172,VA,51,39.4,TRIANGLE,TRIANGLE,79360,PRINCE WILLIAM,153
22610,VA,51,39.3,BENTONVILLE,BENTONVILLE,6792,WARREN,187
23022,VA,51,39.3,BREMO BLUFF,BREMO BLUFF,9448,FLUVANNA,65
24265,VA,51,38.6,KEOKEE,KEOKEE,42104,LEE,105
23011,VA,51,38.6,BARHAMSVILLE,BARHAMSVILLE,4504,NEW KENT,127
23947,VA,51,38.5,KEYSVILLE,KEYSVILLE,42264,CHARLOTTE,37
23917,VA,51,38.4,BOYDTON,BOYDTON,9016,MECKLENBURG,117
23177,VA,51,38.3,WALKERTON,WALKERTON,82608,KING AND QUEEN,97
24070,VA,51,38.3,CATAWBA,CATAWBA,13560,ROANOKE,161
22652,VA,51,38.3,FORT VALLEY,FORT VALLEY,,SHENANDOAH,171
24370,VA,51,37.6,SALTVILLE,SALTVILLE,70096,SMYTH,173
24522,VA,51,37.2,APPOMATTOX,APPOMATTOX,2072,APPOMATTOX,11
22514,VA,51,37.2,MILFORD,MILFORD,51832,CAROLINE,33
23023,VA,51,37.2,BRUINGTON,BRUINGTON,10584,KING AND QUEEN,97
22734,VA,51,37,REMINGTON,REMINGTON,66512,FAUQUIER,61
22931,VA,51,37,COVESVILLE,COVESVILLE,19696,ALBEMARLE,3
23856,VA,51,36.9,FREEMAN,FREEMAN,29776,BRUNSWICK,25
24311,VA,51,36.9,ATKINS,ATKINS,3512,SMYTH,173
23117,VA,51,36.8,MINERAL,MINERAL,52120,LOUISA,109
24485,VA,51,36.8,WEST AUGUSTA,WEST AUGUSTA,84144,AUGUSTA,15
23954,VA,51,36.7,MEHERRIN,MEHERRIN,50968,PRINCE EDWARD,147
23963,VA,51,36.5,RED HOUSE,RED HOUSE,,CHARLOTTE,37
22701,VA,51,36.4,CULPEPER,CULPEPER,20752,CULPEPER,47
22932,VA,51,36.3,CROZET,CROZET,20560,ALBEMARLE,3
23830,VA,51,36.2,CARSON,CARSON,13224,DINWIDDIE,53
22641,VA,51,36.2,STRASBURG,STRASBURG,76000,SHENANDOAH,171
23968,VA,51,36.1,SKIPWITH,SKIPWITH,72880,MECKLENBURG,117
22935,VA,51,36.1,DYKE,DYKE,24176,GREENE,79
22735,VA,51,35.7,REVA,REVA,,MADISON,113
23885,VA,51,35.7,SUTHERLAND,SUTHERLAND,76960,DINWIDDIE,53
20137,VA,51,35.7,BROAD RUN,BROAD RUN,10008,FAUQUIER,61
20198,VA,51,35.4,THE PLAINS,THE PLAINS,78192,FAUQUIER,61
24609,VA,51,35.3,CEDAR BLUFF,CEDAR BLUFF,13784,TAZEWELL,185
22644,VA,51,35.2,MAURERTOWN,MAURERTOWN,50200,SHENANDOAH,171
23922,VA,51,35.2,BURKEVILLE,BURKEVILLE,11560,NOTTOWAY,135
23974,VA,51,35.1,VICTORIA,VICTORIA,81024,LUNENBURG,111
24593,VA,51,34.6,SPOUT SPRING,SPOUT SPRING,74496,APPOMATTOX,11
24473,VA,51,34.6,ROCKBRIDGE BATHS,ROCKBRIDGE BATHS,,ROCKBRIDGE,163
23878,VA,51,34.2,SEDLEY,SEDLEY,71040,SOUTHAMPTON,175
24458,VA,51,33.9,MC DOWELL,MC DOWELL,,HIGHLAND,91
23930,VA,51,33.8,CREWE,CREWE,20160,NOTTOWAY,135
24602,VA,51,33.7,BANDY,BANDY,4280,TAZEWELL,185
22720,VA,51,33.6,GOLDVEIN,GOLDVEIN,31776,FAUQUIER,61
23086,VA,51,33.5,KING WILLIAM,KING WILLIAM,42792,KING WILLIAM,101
22742,VA,51,33.5,SUMERDUCK,SUMERDUCK,76544,FAUQUIER,61
22620,VA,51,33.5,BOYCE,BOYCE,8984,CLARKE,43
24347,VA,51,33.4,HIWASSEE,HIWASSEE,37544,PULASKI,155
24435,VA,51,33.3,FAIRFIELD,FAIRFIELD,26656,ROCKBRIDGE,163
23866,VA,51,33.2,IVOR,IVOR,40232,SOUTHAMPTON,175
22602,VA,51,33.2,WINCHESTER,WINCHESTER,,FREDERICK,69
23416,VA,51,33.1,OAK HALL,OAK HALL,58184,ACCOMACK,1
24228,VA,51,33,CLINTWOOD,CLINTWOOD,17552,DICKENSON,51
24520,VA,51,32.9,ALTON,ALTON,1560,HALIFAX,83
24579,VA,51,32.8,NATURAL BRIDGE STATION,NATURAL BRIDGE STATION,55080,ROCKBRIDGE,163
24574,VA,51,32.8,MONROE,MONROE,52600,AMHERST,9
24322,VA,51,32.5,CRIPPLE CREEK,CRIPPLE CREEK,20256,WYTHE,197
23438,VA,51,32.4,SUFFOLK,SUFFOLK,76432,SUFFOLK CITY,800
23942,VA,51,32.4,GREEN BAY,GREEN BAY,32576,PRINCE EDWARD,147
24282,VA,51,32.3,SAINT CHARLES,SAINT CHARLES,69792,LEE,105
23457,VA,51,32.1,VIRGINIA BEACH,VIRGINIA BEACH,82000,VIRGINIA BEACH CITY,810
22959,VA,51,31.9,NORTH GARDEN,NORTH GARDEN,57368,ALBEMARLE,3
24433,VA,51,31.8,DOE HILL,DOE HILL,22800,HIGHLAND,91
23410,VA,51,31.7,MELFA,MELFA,50984,ACCOMACK,1
22627,VA,51,31.6,FLINT HILL,FLINT HILL,28496,RAPPAHANNOCK,157
23841,VA,51,31.6,DINWIDDIE,DINWIDDIE,22576,DINWIDDIE,53
24432,VA,51,31.6,DEERFIELD,DEERFIELD,21872,AUGUSTA,15
22714,VA,51,31.2,BRANDY STATION,BRANDY STATION,9352,CULPEPER,47
24554,VA,51,30.3,GLADYS,GLADYS,31104,CAMPBELL,31
23944,VA,51,29.9,KENBRIDGE,KENBRIDGE,41832,LUNENBURG,111
22640,VA,51,29.4,HUNTLY,HUNTLY,39128,RAPPAHANNOCK,157
24465,VA,51,29.4,MONTEREY,MONTEREY,52680,HIGHLAND,91
24150,VA,51,29.3,RIPPLEMEAD,RIPPLEMEAD,67304,GILES,71
23691,VA,51,29,YORKTOWN,YORKTOWN,88240,YORK,199
24318,VA,51,28.9,CERES,CERES,14472,BLAND,21
22747,VA,51,28.9,WASHINGTON,WASHINGTON,83248,RAPPAHANNOCK,157
23250,VA,51,28.8,RICHMOND,RICHMOND,,HENRICO,87
22437,VA,51,28.2,CENTER CROSS,CENTER CROSS,14152,ESSEX,57
23323,VA,51,27.5,CHESAPEAKE,CHESAPEAKE,16000,CHESAPEAKE CITY,550
24350,VA,51,27.4,IVANHOE,IVANHOE,40216,WYTHE,197
23827,VA,51,27.3,BOYKINS,BOYKINS,9032,SOUTHAMPTON,175
22663,VA,51,27.3,WHITE POST,WHITE POST,85552,CLARKE,43
24476,VA,51,27.2,STEELES TAVERN,STEELES TAVERN,75264,AUGUSTA,15
24538,VA,51,27.1,CONCORD,CONCORD,18880,CAMPBELL,31
24577,VA,51,27,NATHALIE,NATHALIE,55000,HALIFAX,83
22738,VA,51,26.6,ROCHELLE,ROCHELLE,68272,MADISON,113
24230,VA,51,26.3,COEBURN,COEBURN,17952,WISE,195
22625,VA,51,25.8,CROSS JUNCTION,CROSS JUNCTION,20416,FREDERICK,69
23923,VA,51,25.6,CHARLOTTE COURT HOUSE,CHARLOTTE COURT HOUSE,14952,CHARLOTTE,37
24439,VA,51,25.4,GOSHEN,GOSHEN,31968,ROCKBRIDGE,163
22830,VA,51,25.3,FULKS RUN,FULKS RUN,30048,ROCKINGHAM,165
24581,VA,51,25.3,NORWOOD,NORWOOD,57800,NELSON,125
23888,VA,51,25.1,WAKEFIELD,WAKEFIELD,82384,SUSSEX,183
24325,VA,51,25,DUGSPUR,DUGSPUR,23696,CARROLL,35
24374,VA,51,24.9,SPEEDWELL,SPEEDWELL,74320,WYTHE,197
24279,VA,51,24.8,POUND,POUND,64272,WISE,195
24657,VA,51,24.6,WHITEWOOD,WHITEWOOD,85664,BUCHANAN,27
23868,VA,51,24.6,LAWRENCEVILLE,LAWRENCEVILLE,44520,BRUNSWICK,25
22567,VA,51,24.4,UNIONVILLE,UNIONVILLE,80048,ORANGE,137
24413,VA,51,24,BLUE GRASS,BLUE GRASS,8168,HIGHLAND,91
22713,VA,51,23.7,BOSTON,BOSTON,8680,CULPEPER,47
23882,VA,51,23.5,STONY CREEK,STONY CREEK,75840,SUSSEX,183
23934,VA,51,23.4,CULLEN,CULLEN,20704,CHARLOTTE,37
24351,VA,51,23.2,LAMBSBURG,LAMBSBURG,43672,CARROLL,35
24375,VA,51,23.2,SUGAR GROVE,SUGAR GROVE,76448,SMYTH,173
20115,VA,51,22.9,MARSHALL,MARSHALL,49656,FAUQUIER,61
23847,VA,51,22.9,EMPORIA,EMPORIA,,GREENSVILLE,81
23840,VA,51,22.8,DEWITT,DEWITT,22368,DINWIDDIE,53
22820,VA,51,22.4,CRIDERS,CRIDERS,20192,ROCKINGHAM,165
24460,VA,51,22.1,MILLBORO,MILLBORO,51848,BATH,17
24422,VA,51,22,CLIFTON FORGE,CLIFTON FORGE,17440,ALLEGHANY,5
24260,VA,51,22,HONAKER,HONAKER,38280,RUSSELL,167
24445,VA,51,21.9,HOT SPRINGS,HOT SPRINGS,38632,BATH,17
22976,VA,51,21.9,TYRO,TYRO,79936,NELSON,125
24622,VA,51,21.3,JEWELL RIDGE,JEWELL RIDGE,41016,TAZEWELL,185
24442,VA,51,21,HEAD WATERS,HEAD WATERS,,HIGHLAND,91
24562,VA,51,20.9,HOWARDSVILLE,HOWARDSVILLE,,BUCKINGHAM,29
22811,VA,51,20.8,BERGTON,BERGTON,6808,ROCKINGHAM,165
22637,VA,51,20.5,GORE,GORE,31952,FREDERICK,69
23065,VA,51,20.1,GUM SPRING,GUM SPRING,,GOOCHLAND,75
23843,VA,51,20,DOLPHIN,DOLPHIN,22864,BRUNSWICK,25
24566,VA,51,19.9,KEELING,KEELING,41512,PITTSYLVANIA,143
24216,VA,51,19,APPALACHIA,APPALACHIA,2040,WISE,195
24085,VA,51,18.7,EAGLE ROCK,EAGLE ROCK,24208,BOTETOURT,23
23024,VA,51,18.6,BUMPASS,BUMPASS,11256,LOUISA,109
24237,VA,51,18.1,DANTE,DANTE,21312,RUSSELL,167
22831,VA,51,18.1,HINTON,HINTON,37496,ROCKINGHAM,165
22733,VA,51,17.6,RAPIDAN,RAPIDAN,65696,CULPEPER,47
24620,VA,51,17.3,HURLEY,HURLEY,39192,BUCHANAN,27
24536,VA,51,17.3,COLEMAN FALLS,COLEMAN FALLS,18080,BEDFORD,19
24487,VA,51,17.2,WILLIAMSVILLE,WILLIAMSVILLE,86256,BATH,17
24426,VA,51,16.9,COVINGTON,COVINGTON,19728,COVINGTON CITY,580
24069,VA,51,16.7,CASCADE,CASCADE,13400,PITTSYLVANIA,143
23890,VA,51,16.3,WAVERLY,WAVERLY,83600,SUSSEX,183
22749,VA,51,16.2,WOODVILLE,WOODVILLE,87744,RAPPAHANNOCK,157
22952,VA,51,15.9,LYNDHURST,LYNDHURST,47720,AUGUSTA,15
23358,VA,51,15.8,HACKSNECK,HACKSNECK,33840,ACCOMACK,1
24256,VA,51,15.7,HAYSI,HAYSI,36008,DICKENSON,51
22727,VA,51,15.5,MADISON,MADISON,48488,MADISON,113
23039,VA,51,15.1,CROZIER,CROZIER,20576,GOOCHLAND,75
24226,VA,51,15.1,CLINCHCO,CLINCHCO,17504,DICKENSON,51
24127,VA,51,15,NEW CASTLE,NEW CASTLE,55592,CRAIG,45
24594,VA,51,15,SUTHERLIN,SUTHERLIN,76992,PITTSYLVANIA,143
23824,VA,51,14.6,BLACKSTONE,BLACKSTONE,7832,NOTTOWAY,135
22730,VA,51,14.4,OAKPARK,OAKPARK,58360,MADISON,113
24597,VA,51,14.3,VERNON HILL,VERNON HILL,80848,HALIFAX,83
24578,VA,51,13.9,NATURAL BRIDGE,NATURAL BRIDGE,55048,ROCKBRIDGE,163
23063,VA,51,13.8,GOOCHLAND,GOOCHLAND,31808,GOOCHLAND,75
24066,VA,51,13.8,BUCHANAN,BUCHANAN,10744,BOTETOURT,23
24598,VA,51,13.3,VIRGILINA,VIRGILINA,81312,HALIFAX,83
24528,VA,51,13.3,BROOKNEAL,BROOKNEAL,10296,CAMPBELL,31
23897,VA,51,12.6,YALE,YALE,88048,SUSSEX,183
23833,VA,51,12.6,CHURCH ROAD,CHURCH ROAD,,DINWIDDIE,53
23181,VA,51,12.5,WEST POINT,WEST POINT,84960,KING WILLIAM,101
22718,VA,51,12.3,ELKWOOD,ELKWOOD,25424,CULPEPER,47
20184,VA,51,12.3,UPPERVILLE,UPPERVILLE,80224,FAUQUIER,61
24484,VA,51,11.9,WARM SPRINGS,WARM SPRINGS,83088,BATH,17
24269,VA,51,11.8,MC CLURE,MC CLURE,,DICKENSON,51
24646,VA,51,11.4,ROWE,ROWE,69232,BUCHANAN,27
23893,VA,51,11,WHITE PLAINS,WHITE PLAINS,85536,BRUNSWICK,25
22740,VA,51,11,SPERRYVILLE,SPERRYVILLE,74384,RAPPAHANNOCK,157
23952,VA,51,11,LUNENBURG,LUNENBURG,47496,LUNENBURG,111
23821,VA,51,11,ALBERTA,ALBERTA,724,BRUNSWICK,25
23844,VA,51,10.6,DREWRYVILLE,DREWRYVILLE,23456,SOUTHAMPTON,175
24378,VA,51,10.4,TROUTDALE,TROUTDALE,,GRAYSON,77
23872,VA,51,10.2,MC KENNEY,MC KENNEY,,DINWIDDIE,53
22948,VA,51,9.7,LOCUST DALE,LOCUST DALE,46376,MADISON,113
24464,VA,51,9.6,MONTEBELLO,MONTEBELLO,52664,NELSON,125
23881,VA,51,9.6,SPRING GROVE,SPRING GROVE,74720,SURRY,181
23867,VA,51,9,JARRATT,JARRATT,40536,GREENSVILLE,81
24526,VA,51,9,BIG ISLAND,BIG ISLAND,7400,BEDFORD,19
22722,VA,51,8.9,HAYWOOD,HAYWOOD,36056,MADISON,113
23828,VA,51,8.9,BRANCHVILLE,BRANCHVILLE,9208,SOUTHAMPTON,175
23426,VA,51,8.8,SANFORD,SANFORD,70352,ACCOMACK,1
22972,VA,51,8.1,SOMERSET,SOMERSET,73472,ORANGE,137
23959,VA,51,8.1,PHENIX,PHENIX,61896,CHARLOTTE,37
23604,VA,51,7.9,FORT EUSTIS,FORT EUSTIS,,NEWPORT NEWS CITY,700
23964,VA,51,7.2,RED OAK,RED OAK,,CHARLOTTE,37
23108,VA,51,7,MASCOT,MASCOT,49944,KING AND QUEEN,97
24565,VA,51,6.5,JAVA,JAVA,40568,PITTSYLVANIA,143
23110,VA,51,6.1,MATTAPONI,MATTAPONI,50152,KING AND QUEEN,97
24589,VA,51,5.5,SCOTTSBURG,SCOTTSBURG,70752,HALIFAX,83
23879,VA,51,4.9,SKIPPERS,SKIPPERS,72864,GREENSVILLE,81
23161,VA,51,4.3,STEVENSVILLE,STEVENSVILLE,75456,KING AND QUEEN,97
22729,VA,51,4.1,MITCHELLS,MITCHELLS,52312,CULPEPER,47
24272,VA,51,3.9,NORA,NORA,56496,DICKENSON,51
23883,VA,51,3.4,SURRY,SURRY,76880,SURRY,181
24483,VA,51,3.3,VESUVIUS,VESUVIUS,80928,ROCKBRIDGE,163
24225,VA,51,3.3,CLEVELAND,CLEVELAND,17296,RUSSELL,167
23156,VA,51,3.2,SHACKLEFORDS,SHACKLEFORDS,71344,KING AND QUEEN,97
23850,VA,51,2.7,FORD,FORD,,DINWIDDIE,53
22725,VA,51,2.7,LEON,LEON,45224,MADISON,113
23962,VA,51,2.7,RANDOLPH,RANDOLPH,65600,CHARLOTTE,37
23967,VA,51,2.6,SAXE,SAXE,70560,CHARLOTTE,37
22716,VA,51,2.5,CASTLETON,CASTLETON,13496,RAPPAHANNOCK,157
24220,VA,51,1.4,BIRCHLEAF,BIRCHLEAF,7576,DICKENSON,51
22741,VA,51,1.3,STEVENSBURG,STEVENSBURG,75424,CULPEPER,47
22719,VA,51,1,ETLAN,ETLAN,26080,MADISON,113
23829,VA,51,0.9,CAPRON,CAPRON,12904,SOUTHAMPTON,175
24217,VA,51,0.8,BEE,BEE,5576,DICKENSON,51
23085,VA,51,0.7,KING AND QUEEN COURT HOUSE,KING AND QUEEN COURT HOUSE,42536,KING AND QUEEN,97
20130,VA,51,0.7,PARIS,PARIS,,CLARKE,43
22639,VA,51,0.6,HUME,HUME,38904,FAUQUIER,61
23889,VA,51,0.6,WARFIELD,WARFIELD,83056,BRUNSWICK,25
22723,VA,51,0.5,HOOD,HOOD,38360,MADISON,113
23839,VA,51,0.2,DENDRON,DENDRON,22160,SURRY,181
24131,VA,51,0.1,PAINT BANK,PAINT BANK,60280,CRAIG,45
23038,VA,51,0.1,COLUMBIA,COLUMBIA,,GOOCHLAND,75
23160,VA,51,0.1,STATE FARM,STATE FARM,,GOOCHLAND,75
23027,VA,51,0,CARTERSVILLE,CARTERSVILLE,13304,CUMBERLAND,49
20144,VA,51,0,DELAPLANE,DELAPLANE,21984,FAUQUIER,61
22736,VA,51,0,RICHARDSVILLE,RICHARDSVILLE,66880,CULPEPER,47
22726,VA,51,0,LIGNUM,LIGNUM,45672,CULPEPER,47
24539,VA,51,0,CRYSTAL HILL,CRYSTAL HILL,20656,HALIFAX,83
22433,VA,51,0,BURR HILL,BURR HILL,11720,ORANGE,137
24607,VA,51,0,BREAKS,BREAKS,9400,DICKENSON,51
24239,VA,51,0,DAVENPORT,DAVENPORT,21520,BUCHANAN,27
23440,VA,51,0,TANGIER,TANGIER,77520,ACCOMACK,1
22743,VA,51,0,SYRIA,SYRIA,77328,MADISON,113
23488,VA,51,0,WITHAMS,WITHAMS,87152,ACCOMACK,1
23891,VA,51,0,SUSSEX CORRECTIONAL FACILITY,WAVERLY,83600,SUSSEX,183
23976,VA,51,0,WYLLIESBURG,WYLLIESBURG,87936,CHARLOTTE,37
23857,VA,51,0,GASBURG,GASBURG,30480,BRUNSWICK,25
22643,VA,51,0,MARKHAM,MARKHAM,49512,FAUQUIER,61
23938,VA,51,0,DUNDAS,DUNDAS,23888,LUNENBURG,111
23887,VA,51,0,VALENTINES,VALENTINES,80368,BRUNSWICK,25
23091,VA,51,0,LITTLE PLYMOUTH,LITTLE PLYMOUTH,46088,KING AND QUEEN,97
23894,VA,51,0,WILSONS,WILSONS,86656,DINWIDDIE,53
23876,VA,51,0,RAWLINGS,RAWLINGS,65904,BRUNSWICK,25
23846,VA,51,0,ELBERON,ELBERON,25216,SURRY,181
24534,VA,51,0,CLOVER,CLOVER,17632,HALIFAX,83