State Code,FIPS Code,Locality,State
51,1,Accomack,VA
51,3,Albemarle,VA
51,5,Alleghany,VA
51,7,Amelia,VA
51,9,Amherst,VA
51,11,Appomattox,VA
51,13,Arlington,VA
51,15,Augusta,VA
51,17,Bath,VA
51,19,Bedford,VA
51,21,Bland,VA
51,23,Botetourt,VA
51,25,Brunswick,VA
51,27,Buchanan,VA
51,29,Buckingham,VA
51,31,Campbell,VA
51,33,Caroline,VA
51,35,Carroll,VA
51,36,Charles City,VA
51,37,Charlotte,VA
51,41,Chesterfield,VA
51,43,Clarke,VA
51,45,Craig,VA
51,47,Culpeper,VA
51,49,Cumberland,VA
51,51,Dickenson,VA
51,53,Dinwiddie,VA
51,57,Essex,VA
51,59,Fairfax,VA
51,61,Fauquier,VA
51,63,Floyd,VA
51,65,Fluvanna,VA
51,67,Franklin,VA
51,69,Frederick,VA
51,71,Giles,VA
51,73,Gloucester,VA
51,75,Goochland,VA
51,77,Grayson,VA
51,79,Greene,VA
51,81,Greensville,VA
51,83,Halifax,VA
51,85,Hanover,VA
51,87,Henrico,VA
51,89,Henry,VA
51,91,Highland,VA
51,93,Isle of Wight,VA
51,95,James City,VA
51,97,King and Queen,VA
51,99,King George,VA
51,101,King William,VA
51,103,Lancaster,VA
51,105,Lee,VA
51,107,Loudoun,VA
51,109,Louisa,VA
51,111,Lunenburg,VA
51,113,Madison,VA
51,115,Mathews,VA
51,117,Mecklenburg,VA
51,119,Middlesex,VA
51,121,Montgomery,VA
51,125,Nelson,VA
51,127,New Kent,VA
51,131,Northampton,VA
51,133,Northumberland,VA
51,135,Nottoway,VA
51,137,Orange,VA
51,139,Page,VA
51,141,Patrick,VA
51,143,Pittsylvania,VA
51,145,Powhatan,VA
51,147,Prince Edward,VA
51,149,Prince George,VA
51,153,Prince William,VA
51,155,Pulaski,VA
51,157,Rappahannock,VA
51,159,Richmond,VA
51,161,Roanoke,VA
51,163,Rockbridge,VA
51,165,Rockingham,VA
51,167,Russell,VA
51,169,Scott,VA
51,171,Shenandoah,VA
51,173,Smyth,VA
51,175,Southampton,VA
51,177,Spotsylvania,VA
51,179,Stafford,VA
51,181,Surry,VA
51,183,Sussex,VA
51,185,Tazewell,VA
51,187,Warren,VA
51,191,Washington,VA
51,193,Westmoreland,VA
51,195,Wise,VA
51,197,Wythe,VA
51,199,York,VA
51,510,Alexandria,VA
51,515,Bedford,VA
51,520,Bristol,VA
51,530,Buena Vista,VA
51,540,Charlottesville,VA
51,550,Chesapeake,VA
51,570,Colonial Heights,VA
51,580,Covington,VA
51,590,Danville,VA
51,595,Emporia,VA
51,600,Fairfax,VA
51,610,Falls Church,VA
51,620,Franklin,VA
51,630,Fredericksburg,VA
51,640,Galax,VA
51,650,Hampton,VA
51,660,Harrisonburg,VA
51,670,Hopewell,VA
51,678,Lexington,VA
51,680,Lynchburg,VA
51,683,Manassas,VA
51,685,Manassas Park,VA
51,690,Martinsville,VA
51,700,Newport News,VA
51,710,Norfolk,VA
51,720,Norton,VA
51,730,Petersburg,VA
51,735,Poquoson,VA
51,740,Portsmouth,VA
51,750,Radford,VA
51,760,Richmond,VA
51,770,Roanoke,VA
51,775,Salem,VA
51,790,Staunton,VA
51,800,Suffolk,VA
51,810,Virginia Beach,VA
51,820,Waynesboro,VA
51,830,Williamsburg,VA
51,840,Winchester,VA