LOCALITY NAME (Counties),FIPS CODE,PLANNING DISTRICT
ACCOMACK,1,22
ALBEMARLE,3,10
ALLEGHANY,5,5
AMELIA,7,14
AMHERST,9,11
APPOMATTOX,11,11
ARLINGTON,13,8
AUGUSTA,15,6
BATH,17,6
BEDFORD COUNTY,19,11
BLAND,21,3
BOTETOURT,23,5
BRUNSWICK,25,13
BUCHANAN,27,2
BUCKINGHAM,29,14
CAMPBELL,31,11
CAROLINE,33,16
CARROLL,35,3
CHARLES CITY,36,15
CHARLOTTE,37,14
CHESTERFIELD,41,15
CLARKE,43,7
CRAIG,45,5
CULPEPER,47,9
CUMBERLAND,49,14
DICKENSON,51,2
DINWIDDIE,53,19
ESSEX,57,18
FAIRFAX COUNTY,59,8
FAUQUIER,61,9
FLOYD,63,4
FLUVANNA,65,10
FRANKLIN COUNTY,67,12
FREDERICK,69,7
GILES,71,4
GLOUCESTER,73,18
GOOCHLAND,75,15
GRAYSON,77,3
GREENE,79,10
GREENSVILLE,81,19
HALIFAX,83,13
HANOVER,85,15
HENRICO,87,15
HENRY,89,12
HIGHLAND,91,6
ISLE OF WIGHT,93,20
JAMES CITY,95,21
KING AND QUEEN,97,18
KING GEORGE,99,16
KING WILLIAM,101,18
LANCASTER,103,17
LEE,105,1
LOUDOUN,107,8
LOUISA,109,10
LUNENBURG,111,14
MADISON,113,9
MATHEWS,115,18
MECKLENBURG,117,13
MIDDLESEX,119,18
MONTGOMERY,121,4
NELSON,125,10
NEW KENT,127,15
NORTHAMPTON,131,22
NORTHUMBERLAND,133,17
NOTTOWAY,135,14
ORANGE,137,9
PAGE,139,7
PATRICK,141,12
PITTSYLVANIA,143,12
POWHATAN,145,15
PRINCE EDWARD,147,14
PRINCE GEORGE,149,19
PRINCE WILLIAM,153,8
PULASKI,155,4
RAPPAHANNOCK,157,9
RICHMOND COUNTY,159,17
ROANOKE COUNTY,161,5
ROCKBRIDGE,163,6
ROCKINGHAM,165,6
RUSSELL,167,2
SCOTT,169,1
SHENANDOAH,171,7
SMYTH,173,3
SOUTHAMPTON,175,20
SPOTSYLVANIA,177,16
STAFFORD,179,16
SURRY,181,19
SUSSEX,183,19
TAZEWELL,185,2
WARREN,187,7
WASHINGTON,191,3
WESTMORELAND,193,17
WISE,195,1
WYTHE,197,3
YORK,199,21
ALEXANDRIA,510,8
BEDFORD,515,11
BRISTOL,520,3
BUENA VISTA,530,6
CHARLOTTESVILLE,540,10
CHESAPEAKE,550,20
"CLIFTON FORGE
(Now a Town)",Use Alleghany County 005,5
COLONIAL HEIGHTS,570,19
COVINGTON,580,5
DANVILLE,590,12
EMPORIA,595,19
FAIRFAX,600,8
FALLS CHURCH,610,8
FRANKLIN,620,20
FREDERICKSBURG,630,16
GALAX,640,3
HAMPTON,650,21
HARRISONBURG,660,6
HOPEWELL,670,19
LEXINGTON,678,6
LYNCHBURG,680,11
MANASSAS,683,8
MANASSAS PARK,685,8
MARTINSVILLE,690,12
NEWPORT NEWS,700,21
NORFOLK,710,20
NORTON,720,1
PETERSBURG,730,19
POQUOSON,735,21
PORTSMOUTH,740,20
RADFORD,750,4
RICHMOND,760,15
ROANOKE,770,5
SALEM,775,5
"SOUTH BOSTON
(Now a Town)",Use Halifax County 083,13
STAUNTON,790,6
SUFFOLK,800,20
VIRGINIA BEACH,810,20
WAYNESBORO,820,6
WILLIAMSBURG,830,21
WINCHESTER,840,7