State Abbreviation,State FIPS Code,County FIPS Code,FIPS Entity Code,ANSI Code,GU Name,Entity Description
VA,51,510,01000,01498415,Alexandria,city
VA,51,515,05544,01793650,Bedford,city
VA,51,520,09816,01498416,Bristol,city
VA,51,530,11032,01498417,Buena Vista,city
VA,51,540,14968,01789068,Charlottesville,city
VA,51,550,16000,01498558,Chesapeake,city
VA,51,570,18448,01498420,Colonial Heights,city
VA,51,580,19728,01789069,Covington,city
VA,51,590,21344,01498421,Danville,city
VA,51,595,25808,01498422,Emporia,city
VA,51,600,26496,01789070,Fairfax,city
VA,51,610,27200,01498423,Falls Church,city
VA,51,620,29600,01498424,Franklin,city
VA,51,630,29744,01498425,Fredericksburg,city
VA,51,640,30208,01498426,Galax,city
VA,51,650,35000,01498554,Hampton,city
VA,51,660,35624,01498563,Harrisonburg,city
VA,51,670,38424,01498428,Hopewell,city
VA,51,678,45512,01789071,Lexington,city
VA,51,680,47672,01498429,Lynchburg,city
VA,51,683,48952,01498430,Manassas,city
VA,51,685,48968,01498431,Manassas Park,city
VA,51,690,49784,01789072,Martinsville,city
VA,51,700,56000,01498555,Newport News,city
VA,51,710,57000,01498557,Norfolk,city
VA,51,720,57688,01498434,Norton,city
VA,51,730,61832,01498435,Petersburg,city
VA,51,735,63768,01498436,Poquoson,city
VA,51,740,64000,01498556,Portsmouth,city
VA,51,750,65392,01498438,Radford,city
VA,51,760,67000,01789073,Richmond,city
VA,51,770,68000,01498439,Roanoke,city
VA,51,775,70000,01789074,Salem,city
VA,51,790,75216,01789075,Staunton,city
VA,51,800,76432,01498560,Suffolk,city
VA,51,810,82000,01498559,Virginia Beach,city
VA,51,820,83680,01498443,Waynesboro,city
VA,51,830,86160,01789076,Williamsburg,city
VA,51,840,86720,01789077,Winchester,city
VA,51,001,00000,01480091,Accomack,County
VA,51,003,00000,01675170,Albemarle,County
VA,51,005,00000,01673675,Alleghany,County
VA,51,007,00000,01497770,Amelia,County
VA,51,009,00000,01480095,Amherst,County
VA,51,011,00000,01497238,Appomattox,County
VA,51,013,00000,01480097,Arlington,County
VA,51,015,00000,01480098,Augusta,County
VA,51,017,00000,01673638,Bath,County
VA,51,019,00000,01674818,Bedford,County
VA,51,021,00000,01494613,Bland,County
VA,51,023,00000,01674418,Botetourt,County
VA,51,025,00000,01493961,Brunswick,County
VA,51,027,00000,01497431,Buchanan,County
VA,51,029,00000,01501502,Buckingham,County
VA,51,031,00000,01674917,Campbell,County
VA,51,033,00000,01480107,Caroline,County
VA,51,035,00000,01480108,Carroll,County
VA,51,036,00000,01480109,Charles City,County
VA,51,037,00000,01492442,Charlotte,County
VA,51,041,00000,01480111,Chesterfield,County
VA,51,043,00000,01690562,Clarke,County
VA,51,045,00000,01673664,Craig,County
VA,51,047,00000,01497831,Culpeper,County
VA,51,049,00000,01494109,Cumberland,County
VA,51,051,00000,01497376,Dickenson,County
VA,51,053,00000,01690739,Dinwiddie,County
VA,51,057,00000,01480118,Essex,County
VA,51,059,00000,01480119,Fairfax,County
VA,51,061,00000,01480120,Fauquier,County
VA,51,063,00000,01494354,Floyd,County
VA,51,065,00000,01494061,Fluvanna,County
VA,51,067,00000,01494434,Franklin,County
VA,51,069,00000,01480124,Frederick,County
VA,51,071,00000,01494551,Giles,County
VA,51,073,00000,01480126,Gloucester,County
VA,51,075,00000,01674271,Goochland,County
VA,51,077,00000,01501196,Grayson,County
VA,51,079,00000,01480129,Greene,County
VA,51,081,00000,01501122,Greensville,County
VA,51,083,00000,01496705,Halifax,County
VA,51,085,00000,01480132,Hanover,County
VA,51,087,00000,01480133,Henrico,County
VA,51,089,00000,01502770,Henry,County
VA,51,091,00000,01673774,Highland,County
VA,51,093,00000,01702378,Isle of Wight,County
VA,51,095,00000,01480135,James City,County
VA,51,097,00000,01480136,King and Queen,County
VA,51,099,00000,01480137,King George,County
VA,51,101,00000,01480138,King William,County
VA,51,103,00000,01480139,Lancaster,County
VA,51,105,00000,01496538,Lee,County
VA,51,107,00000,01480141,Loudoun,County
VA,51,109,00000,01494707,Louisa,County
VA,51,111,00000,01492239,Lunenburg,County
VA,51,113,00000,01494590,Madison,County
VA,51,115,00000,01480145,Mathews,County
VA,51,117,00000,01500747,Mecklenburg,County
VA,51,119,00000,01480147,Middlesex,County
VA,51,121,00000,01674630,Montgomery,County
VA,51,125,00000,01500936,Nelson,County
VA,51,127,00000,01480150,New Kent,County
VA,51,131,00000,01480151,Northampton,County
VA,51,133,00000,01480152,Northumberland,County
VA,51,135,00000,01493928,Nottoway,County
VA,51,137,00000,01494761,Orange,County
VA,51,139,00000,01500440,Page,County
VA,51,141,00000,01497999,Patrick,County
VA,51,143,00000,01480157,Pittsylvania,County
VA,51,145,00000,01674225,Powhatan,County
VA,51,147,00000,01492359,Prince Edward,County
VA,51,149,00000,01480160,Prince George,County
VA,51,153,00000,01480161,Prince William,County
VA,51,155,00000,01501465,Pulaski,County
VA,51,157,00000,01673976,Rappahannock,County
VA,51,159,00000,01480164,Richmond,County
VA,51,161,00000,01480165,Roanoke,County
VA,51,163,00000,01480166,Rockbridge,County
VA,51,165,00000,01488970,Rockingham,County
VA,51,167,00000,01497573,Russell,County
VA,51,169,00000,01498172,Scott,County
VA,51,171,00000,01673918,Shenandoah,County
VA,51,173,00000,01500545,Smyth,County
VA,51,175,00000,01480171,Southampton,County
VA,51,177,00000,01480172,Spotsylvania,County
VA,51,179,00000,01480173,Stafford,County
VA,51,181,00000,01480174,Surry,County
VA,51,183,00000,01690257,Sussex,County
VA,51,185,00000,01497748,Tazewell,County
VA,51,187,00000,01674058,Warren,County
VA,51,191,00000,01498359,Washington,County
VA,51,193,00000,01480179,Westmoreland,County
VA,51,195,00000,01496656,Wise,County
VA,51,197,00000,01501379,Wythe,County
VA,51,199,00000,01480182,York,County
VA,51,101,9230,01470191,Mattaponi,Reservation
VA,51,101,9260,01472036,Pamunkey,Reservation
VA,51,036,9580,02418815,Chickahominy,SDTSA
VA,51,127,9675,02418562,Eastern Chickahominy,SDTSA
VA,51,191,00148,02390694,Abingdon,town
VA,51,001,00180,02390696,Accomac,town
VA,51,025,00724,02390698,Alberta,town
VA,51,031,01528,02390701,Altavista,town
VA,51,009,01672,02390702,Amherst,town
VA,51,195,02040,02390706,Appalachia,town
VA,51,011,02072,02390707,Appomattox,town
VA,51,085,03368,02390708,Ashland,town
VA,51,001,05912,02390720,Belle Haven,town
VA,51,131,05912,02390720,Belle Haven,town
VA,51,043,06968,02390723,Berryville,town
VA,51,195,07480,02390730,Big Stone Gap,town
VA,51,121,07784,02390731,Blacksburg,town
VA,51,135,07832,02390732,Blackstone,town
VA,51,001,08120,02390736,Bloxom,town
VA,51,185,08152,02390737,Bluefield,town
VA,51,067,08584,02390739,Boones Mill,town
VA,51,033,08888,02390742,Bowling Green,town
VA,51,043,08984,02390743,Boyce,town
VA,51,117,09016,02390744,Boydton,town
VA,51,175,09032,02390745,Boykins,town
VA,51,175,09208,02390748,Branchville,town
VA,51,165,09656,02390752,Bridgewater,town
VA,51,165,10040,02390753,Broadway,town
VA,51,025,10072,02390754,Brodnax,town
VA,51,117,10072,02390754,Brodnax,town
VA,51,031,10296,02390756,Brookneal,town
VA,51,023,10744,02390759,Buchanan,town
VA,51,135,11560,02390761,Burkeville,town
VA,51,131,12808,02390767,Cape Charles,town
VA,51,175,12904,02390770,Capron,town
VA,51,185,13784,02390773,Cedar Bluff,town
VA,51,037,14952,02390778,Charlotte Court House,town
VA,51,117,14984,02390779,Chase City,town
VA,51,143,15000,02390780,Chatham,town
VA,51,131,15112,02390781,Cheriton,town
VA,51,173,16480,02390791,Chilhowie,town
VA,51,001,16512,02390792,Chincoteague,town
VA,51,121,16608,02390793,Christiansburg,town
VA,51,181,16880,02390796,Claremont,town
VA,51,083,16992,02390797,Clarksville,town
VA,51,117,16992,02390797,Clarksville,town
VA,51,167,17296,02390802,Cleveland,town
VA,51,059,17376,02390803,Clifton,town
VA,51,005,17440,02390804,Clifton Forge,town
VA,51,051,17504,02390805,Clinchco,town
VA,51,169,17536,02390806,Clinchport,town
VA,51,051,17552,02390807,Clintwood,town
VA,51,195,17952,02390808,Coeburn,town
VA,51,193,18400,02390810,Colonial Beach,town
VA,51,065,18624,02390811,Columbia,town
VA,51,175,19600,02390813,Courtland,town
VA,51,015,19904,02390815,Craigsville,town
VA,51,135,20160,02390816,Crewe,town
VA,51,047,20752,02390817,Culpeper,town
VA,51,191,21184,02390819,Damascus,town
VA,51,165,21648,02390823,Dayton,town
VA,51,181,22160,02390145,Dendron,town
VA,51,029,22560,02390148,Dillwyn,town
VA,51,037,23376,02390149,Drakes Branch,town
VA,51,155,23648,02390150,Dublin,town
VA,51,169,23680,02390151,Duffield,town
VA,51,153,23760,02390152,Dumfries,town
VA,51,169,23952,02390153,Dungannon,town
VA,51,131,24752,02390159,Eastville,town
VA,51,171,25008,02390160,Edinburg,town
VA,51,165,25408,02390167,Elkton,town
VA,51,131,26416,02390172,Exmore,town
VA,51,049,27440,02390178,Farmville,town
VA,51,147,27440,02390178,Farmville,town
VA,51,023,27824,02390183,Fincastle,town
VA,51,063,28544,02390186,Floyd,town
VA,51,077,29920,02390194,Fries,town
VA,51,187,29968,02390195,Front Royal,town
VA,51,169,30496,02390201,Gate City,town
VA,51,191,31056,02390205,Glade Spring,town
VA,51,163,31136,02390206,Glasgow,town
VA,51,071,31376,02390209,Glen Lyn,town
VA,51,109,31936,02390212,Gordonsville,town
VA,51,137,31936,02390212,Gordonsville,town
VA,51,163,31968,02390213,Goshen,town
VA,51,143,33232,02390220,Gretna,town
VA,51,015,33488,02390221,Grottoes,town
VA,51,165,33488,02390221,Grottoes,town
VA,51,027,33648,02390222,Grundy,town
VA,51,083,34064,02390223,Halifax,town
VA,51,001,34176,02390224,Hallwood,town
VA,51,107,34240,02390226,Hamilton,town
VA,51,153,35976,02390236,Haymarket,town
VA,51,051,36008,02390237,Haysi,town
VA,51,059,36648,02390244,Herndon,town
VA,51,107,37288,02390247,Hillsboro,town
VA,51,035,37336,02390249,Hillsville,town
VA,51,167,38280,02390250,Honaker,town
VA,51,143,39224,02391236,Hurt,town
VA,51,077,39528,02391239,Independence,town
VA,51,005,40024,02391241,Iron Gate,town
VA,51,103,40088,02391242,Irvington,town
VA,51,175,40232,02391243,Ivor,town
VA,51,081,40536,02391245,Jarratt,town
VA,51,183,40536,02391245,Jarratt,town
VA,51,105,41272,02391247,Jonesville,town
VA,51,001,41656,02391250,Keller,town
VA,51,111,41832,02391251,Kenbridge,town
VA,51,037,42264,02391255,Keysville,town
VA,51,103,42424,02391256,Kilmarnock,town
VA,51,133,42424,02391256,Kilmarnock,town
VA,51,117,43176,02391259,La Crosse,town
VA,51,025,44520,02391263,Lawrenceville,town
VA,51,167,44696,02391265,Lebanon,town
VA,51,107,44984,02391266,Leesburg,town
VA,51,109,47144,02391275,Louisa,town
VA,51,107,47208,02391276,Lovettsville,town
VA,51,139,47528,02391279,Luray,town
VA,51,113,48488,02391281,Madison,town
VA,51,173,49464,02391286,Marion,town
VA,51,053,48344,02391293,McKenney,town
VA,51,001,50984,02391295,Melfa,town
VA,51,107,51448,02391297,Middleburg,town
VA,51,069,51512,02391300,Middletown,town
VA,51,109,52120,02391308,Mineral,town
VA,51,091,52680,02391311,Monterey,town
VA,51,193,52952,02391313,Montross,town
VA,51,165,53864,02391317,Mount Crawford,town
VA,51,171,53992,02391318,Mount Jackson,town
VA,51,071,54904,02391321,Narrows,town
VA,51,131,54984,02391322,Nassawadox,town
VA,51,045,55592,02391323,New Castle,town
VA,51,171,55848,02391326,New Market,town
VA,51,175,56096,02391330,Newsoms,town
VA,51,169,56304,02391331,Nickelsville,town
VA,51,059,58696,02391340,Occoquan,town
VA,51,153,58696,02391340,Occoquan,town
VA,51,001,59336,02391345,Onancock,town
VA,51,001,59384,02391346,Onley,town
VA,51,137,59496,02391347,Orange,town
VA,51,001,60296,02391349,Painter,town
VA,51,011,60488,02391350,Pamplin City,town
VA,51,147,60488,02391350,Pamplin City,town
VA,51,001,60680,02391351,Parksley,town
VA,51,071,61208,02391354,Pearisburg,town
VA,51,071,61336,02391355,Pembroke,town
VA,51,105,61560,02391356,Pennington Gap,town
VA,51,037,61896,02391359,Phenix,town
VA,51,185,63288,02391365,Pocahontas,town
VA,51,033,63928,02391368,Port Royal,town
VA,51,195,64272,02391370,Pound,town
VA,51,155,64880,02391374,Pulaski,town
VA,51,107,65008,02391376,Purcellville,town
VA,51,153,65120,02391377,Quantico,town
VA,51,061,66512,02391384,Remington,town
VA,51,071,66896,02391386,Rich Creek,town
VA,51,185,66928,02391387,Richlands,town
VA,51,089,67208,02391390,Ridgeway,town
VA,51,067,68496,02391395,Rocky Mount,town
VA,51,107,69168,02391396,Round Hill,town
VA,51,197,69456,02391399,Rural Retreat,town
VA,51,173,70096,02391401,Saltville,town
VA,51,191,70096,02391401,Saltville,town
VA,51,001,70576,02391403,Saxis,town
VA,51,083,70752,02391404,Scottsburg,town
VA,51,003,70800,02391405,Scottsville,town
VA,51,065,70800,02391405,Scottsville,town
VA,51,139,71776,02391410,Shenandoah,town
VA,51,093,73200,02391413,Smithfield,town
VA,51,083,73712,02391421,South Boston,town
VA,51,117,73904,02391422,South Hill,town
VA,51,105,69792,02391423,St. Charles,town
VA,51,167,69936,02391400,St. Paul,town
VA,51,195,69936,02391400,St. Paul,town
VA,51,079,75008,02391425,Stanardsville,town
VA,51,139,75024,02391426,Stanley,town
VA,51,069,75344,02391428,Stephens City,town
VA,51,183,75840,02391429,Stony Creek,town
VA,51,171,76000,02391430,Strasburg,town
VA,51,141,76256,02391431,Stuart,town
VA,51,181,76880,02391434,Surry,town
VA,51,001,77520,02391438,Tangier,town
VA,51,057,77568,02391439,Tappahannock,town
VA,51,185,77792,02391440,Tazewell,town
VA,51,061,78192,02391443,The Plains,town
VA,51,165,78736,02391446,Timberville,town
VA,51,171,79024,02391447,Toms Brook,town
VA,51,077,79456,02391451,Troutdale,town
VA,51,023,79472,02391452,Troutville,town
VA,51,119,80272,02391458,Urbanna,town
VA,51,111,81024,02391459,Victoria,town
VA,51,059,81072,02391461,Vienna,town
VA,51,161,81280,02391462,Vinton,town
VA,51,083,81312,02391464,Virgilina,town
VA,51,001,82320,02391465,Wachapreague,town
VA,51,183,82384,02391466,Wakefield,town
VA,51,061,83136,02391469,Warrenton,town
VA,51,159,83168,02391470,Warsaw,town
VA,51,157,83248,02391471,Washington,town
VA,51,183,83600,02391473,Waverly,town
VA,51,169,83808,02391475,Weber City,town
VA,51,101,84960,02391480,West Point,town
VA,51,103,85600,02391483,White Stone,town
VA,51,093,86784,02391488,Windsor,town
VA,51,195,87072,02391490,Wise,town
VA,51,171,87712,02391494,Woodstock,town
VA,51,197,88000,02391497,Wytheville,town
VA,51,000,00000,01779803,Virginia,