,,
Abingdon,Washington County,00148
Accomac,Accomack County,00180
Alberta,Brunswick County,00724
Altavista,Campbell County,01528
Amherst,Amherst County,01672
Appalachia,Wise County,02040
Appomattox,Appomattox County,02072
Ashland,Hanover County,03368
Belle Haven,Northampton County,05912
Belle Haven,Accomack County,05912
Berryville,Clarke County,06968
Big Stone Gap,Wise County,07480
Blacksburg,Montgomery County,07784
Blackstone,Nottoway County,07832
Bloxom,Accomack County,08120
Bluefield,Tazewell County,08152
Boones Mill,Franklin County,08584
Bowling Green,Caroline County,08888
Boyce,Clarke County,08984
Boydton,Mecklenburg County,09016
Boykins,Southampton County,09032
Branchville,Southampton County,09208
Bridgewater,Rockingham County,09656
Broadway,Rockingham County,10040
Brodnax,Mecklenburg County,10072
,Brunswick County,10072
Brookneal,Campbell County,10296
Buchanan,Botetourt County,10744
Burkeville,Nottoway County,11560
Cape Charles,Northampton County,12808
Capron Cedar,Southampton County,12904
Cedar Bluff,Tazewell County,13784
Charlotte Court House,Charlotte County,14952
Chase City,Mecklenburg County,14984
Chatham,Pittsylvania County,15000
Cheriton,Northampton County,15112
Chilhowie,Smyth County,16480
Chincoteague,Accomack County,16512
Christiansburg,Montgomery County,16608
Claremont,Surry County,16880
Clarksville,Mecklenburg County,16992
Cleveland,Russell County,17296
Clifton,Fairfax County,17376
Clifton Forge,Alleghany County,17440
Clinchco,Dickenson County,17504
Clinchport,Scott County,17536
Clintwood,Dickenson County,17552
Coeburn,Wise County,17952
Colonial Beach,Westmoreland County,18400
Columbia,Fluvanna County,18624
Courtland,Southampton County,19600
Craigsville,Augusta County,19904
Crewe,Nottoway County,20160
Culpeper,Culpeper County,20752
Damascus,Washington County,21184
Dayton,Rockingham County,21648
Dendron,Surry County,22160
Dillwyn,Buckingham County,22560
Drakes Branch,Charlotte County,23376
Dublin,Pulaski County,23648
Duffield,Scott County,23680
Dumfries,Prince William County,23760
Dungannon,Scott County,23952
Eastville,Northampton County,24752
Edinburg,Shenandoah County,25008
Elkton,Rockingham County,25408
Exmore,Northampton County,26416
Farmville,Cumberland County,27440
Farmville,Prince Edward County,27440
Fincastle,Botetourt County,27824
Floyd,Floyd County,28544
Fries,Grayson County,29920
Front Royal,Warren County,29968
Gate City,Scott County,30496
Glade Spring,Washington County,31056
Glasgow,Rockbridge County,31136
Glen Lyn,Giles County,31376
Gordonsville,Orange County,31936
Goshen,Rockbridge County,31968
Gretna,Pittsylvania County,33232
Grottoes,Rockingham County,33488
Grottoes,Augusta County,33488
Grundy,Buchanan County,33648
Halifax,Halifax County,34064
Hallwood,Accomack County,34176
Hamilton,Loudoun County,34240
Haymarket,Prince William County,35976
Haysi,Dickenson County,36008
Herndon,Fairfax County,36648
Hillsboro,Loudoun County,37288
Hillsville,Carroll County,37336
Honaker,Russell County,38280
Hurt,Pittsylvania County,39224
Independence,Grayson County,39528
Iron Gate,Alleghany County,40024
Irvington,Lancaster County,40088
Ivor,Southampton County,40232
Jarratt,Sussex County,40536
Jarratt,Greensville County,40536
Jonesville,Lee County,41272
Keller,Accomack County,41656
Kenbridge,Lunenburg County,41832
Keysville,Charlotte County,42264
Kilmarnock,Lancaster County,42424
Kilmarnock,Northumberland County,42424
La Crosse,Mecklenburg County,43176
Lawrenceville,Brunswick County,44520
Lebanon,Russell County,44696
Leesburg,Loudoun County,44984
Louisa,Louisa County,47144
Lovettsville,Loudoun County,47208
Luray,Page County,47528
Madison,Madison County,48488
Marion,Smyth County,49464
McKenney,Dinwiddie County,48344
Melfa,Accomack County,50984
Middleburg,Loudoun County,51448
Middletown,Frederick County,51512
Mineral,Louisa County,52120
Monterey,Highland County,52680
Montross,Westmoreland County,52952
Mount Crawford,Rockingham County,53864
Mount Jackson,Shenandoah County,53992
Narrows,Giles County,54904
Nassawadox,Northampton County,54984
New Castle,Craig County,55592
New Market,Shenandoah County,55848
Newsoms,Southampton County,56096
Nickelsville,Scott County,56304
Occoquan,Prince William County,58696
Onancock,Accomack County,59336
Onley,Accomack County,59384
Orange,Orange County,59496
Painter,Accomack County,60296
Pamplin City,Prince Edward County,60488
Pamplin City,Appomattox County,60488
Parksley,Accomack County,60680
Pearisburg,Giles County,61208
Pembroke,Giles County,61336
Pennington Gap,Lee County,61560
Phenix,Charlotte County,61896
Pocahontas,Tazewell County,63288
Port Royal,Caroline County,63928
Pound,Wise County,64272
Pulaski,Pulaski County,64880
Purcellville,Loudoun County,65008
Quantico,Prince William County,65120
Remington,Fauquier County,66512
Rich Creek,Giles County,66896
Richlands,Tazewell County,66928
Ridgeway,Henry County,67208
Rocky Mount,Franklin County,68496
Round Hill,Loudoun County,69168
Rural Retreat,Wythe County,69456
Saltville,Smyth County,70096
Saltville,Washington County,70096
Saxis,Accomack County,70576
Scottsburg,Halifax County,70752
Scottsville,Albemarle County,70800
Scottsville,Fluvanna County,70800
Shenandoah,Page County,71776
Smithfield,Isle of Wight County,73200
South Boston,Halifax County,73712
South Hill,Mecklenburg County,73904
St. Charles,Lee County,69792
St. Paul,Russell County,69936
St. Paul,Wise County,69936
Stanardsville,Greene County,75008
Stanley,Page County,75024
Stephens City,Frederick County,75344
Stony Creek,Sussex County,75840
Strasburg,Shenandoah County,76000
Stuart,Patrick County,76256
Surry,Surry County,76880
Tangier,Accomack County,77520
Tappahannock,Essex County,77568
Tazewell,Tazewell County,77792
The Plains,Fauquier County,78192
Timberville,Rockingham County,78736
Toms Brook,Shenandoah County,79024
Troutdale,Grayson County,79456
Troutville,Botetourt County,79472
Urbanna,Middlesex County,80272
Victoria,Lunenburg County,81024
Vienna,Fairfax County,81072
Vinton,Roanoke County,81280
Virgilina,Halifax County,81312
Wachapreague,Accomack County,82320
Wakefield,Sussex County,82384
Warrenton,Fauquier County,83136
Warsaw,Richmond County,83168
Washington,Rappahannock County,83248
Waverly,Sussex County,83600
Weber City,Scott County,83808
West Point,King William County,84960
White Stone,Lancaster County,85600
Windsor,Isle of Wight County,86784
Wise,Wise County,87072
Woodstock,Shenandoah County,87712
Wytheville,Wythe County,88000